SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
NETGEAR77,78-D2-94-BF-16-41,802.11g/n/ac,-78,65,65.0,2.422,3,374,17,NETGEAR,R7800,R7800(Wireless AP),WPA-PSK + WPA2-PSK,TKIP+CCMP,1733 Mbps,40 MHz,1 - 9,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,22-11-2022 17:50:30,65,65,802.11i,No,,,,,
NETGEAR81,DC-EF-09-E3-B8-7B,802.11g/n/ac,-23,94,94.0,2.437,6,254,17,NETGEAR,,,WPA2-PSK,CCMP,1733 Mbps,40 MHz,4 - 12,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,03-11-2022 15:18:19,94,94,802.11i,No,,,,,15
NETGEAR81-5G,DC-EF-09-E3-B8-7D,802.11n/ac,-31,92,92.0,5.765,153,410,16,NETGEAR,R7800,R7800(Wireless AP),WPA2-PSK,CCMP,1733 Mbps,80 MHz,139 - 155,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,03-11-2022 15:18:40,92,92,802.11d/h/i,No,,,US,,15
NETGEAR_2G,78-D2-94-4A-AA-EB,802.11g/n/ac,-44,89,89.0,2.462,11,343,16,NETGEAR,R7800,R7800(Wireless AP),WPA2-PSK,CCMP,1733 Mbps,20 MHz,9 - 13,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-11-2022 12:33:30,89,89,802.11i,No,,,,,3
NETGEAR_5G,78-D2-94-4A-AA-ED,802.11n/ac,-56,86,86.0,5.180,36,408,16,NETGEAR,R7800,R7800(Wireless AP),WPA2-PSK,CCMP,1733 Mbps,40 MHz,34 - 42,Infrastructure,Locked,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-11-2022 12:33:27,86,86,802.11d/h/i,No,,,US,,3
OpenWifi,90-3C-B3-BB-26-5E,802.11g/n/ax,-25,94,94.0,2.462,11,191,14,Edgecore Networks Corporation,,,,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,94,94,802.11d/e/y,No,1,26.7%,CA,,1
OpenWifi,90-3C-B3-6C-46-57,802.11n/ac/ax,-25,94,94.0,5.500,100,261,19,Edgecore Networks Corporation,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,98 - 114,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:09:35,94,94,802.11d/e/h/i/y,No,0,2.0%,CA,,14
OpenWifi,92-3C-B3-6C-46-57,802.11n/ac/ax,-25,94,94.0,5.500,100,261,19,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,98 - 114,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:09:35,94,94,802.11d/e/h/i/y,No,0,2.0%,CA,,14
OpenWifi,90-3C-B3-BB-26-5F,802.11n/ac/ax,-29,93,93.0,5.260,52,235,18,Edgecore Networks Corporation,,,,None,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,93,93,802.11d/e/h/y,No,1,5.5%,CA,,1
OpenWifi_wpa,92-3C-B3-BB-26-5F,802.11n/ac/ax,-29,93,93.0,5.260,52,263,19,,,,WPA-PSK,CCMP,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,93,93,802.11d/e/h/y,No,0,5.5%,CA,,1
